sheet,nj,wave,chain,fte,fte_nm,wage
46,0,1,1,40.5,37.5,
46,0,2,1,24.0,21.0,4.3
49,0,1,2,13.75,9.75,
49,0,2,2,11.5,7.5,4.45
506,0,1,2,8.5,6.5,
506,0,2,2,10.5,6.5,5.0
56,0,1,4,34.0,30.0,5.0
56,0,2,4,20.0,18.0,5.25
61,0,1,4,24.0,19.0,5.5
61,0,2,4,35.5,29.5,4.75
62,0,1,4,20.5,15.5,5.0
62,0,2,4,,,
445,0,1,1,70.5,67.5,5.0
445,0,2,1,29.0,24.0,4.75
451,0,1,1,23.5,18.5,5.0
451,0,2,1,36.5,30.5,5.0
455,0,1,2,11.0,6.0,5.25
455,0,2,2,11.0,9.0,5.0
458,0,1,2,9.0,7.0,5.0
458,0,2,2,8.5,6.5,5.0
462,0,1,3,15.5,12.5,5.0
462,0,2,3,17.5,13.5,4.75
468,0,1,1,58.0,55.0,5.0
468,0,2,1,29.0,25.0,5.0
469,0,1,1,26.5,21.5,5.0
469,0,2,1,30.5,26.5,4.5
470,0,1,1,28.5,25.5,5.5
470,0,2,1,26.0,23.0,4.75
474,0,1,1,13.5,10.5,5.0
474,0,2,1,18.0,15.0,4.5
481,0,1,2,16.75,13.75,5.25
481,0,2,2,20.0,17.0,5.0
483,0,1,2,9.5,8.5,5.0
483,0,2,2,13.5,10.5,4.75
487,0,1,3,15.0,13.0,5.0
487,0,2,3,19.0,16.0,4.75
488,0,1,3,29.5,26.5,5.0
488,0,2,3,15.5,12.5,4.75
489,0,1,3,18.5,16.5,5.0
489,0,2,3,14.5,11.5,4.25
490,0,1,3,20.25,16.25,5.0
490,0,2,3,14.0,11.0,5.0
493,0,1,3,36.0,33.0,5.0
493,0,2,3,19.0,15.0,4.9
495,0,1,3,21.0,18.0,5.0
495,0,2,3,21.0,18.0,5.0
496,0,1,3,20.5,17.5,5.0
496,0,2,3,18.0,15.0,4.75
499,0,1,4,19.0,14.0,5.0
499,0,2,4,20.5,15.5,5.0
509,0,1,3,14.0,11.0,5.0
509,0,2,3,13.5,10.5,4.25
515,0,1,3,19.0,15.0,5.0
515,0,2,3,17.5,14.5,4.75
37,0,1,1,32.5,25.5,4.25
37,0,2,1,25.5,18.5,4.25
39,0,1,1,19.0,17.0,4.25
39,0,2,1,15.5,12.5,
40,0,1,1,27.0,20.0,4.25
40,0,2,1,25.5,19.5,4.25
41,0,1,1,19.5,13.5,4.25
41,0,2,1,27.0,21.0,4.25
42,0,1,1,24.0,19.0,4.5
42,0,2,1,16.0,11.0,4.25
45,0,1,1,18.0,12.0,4.25
45,0,2,1,19.0,17.0,4.25
47,0,1,1,,32.5,4.5
47,0,2,1,24.5,22.5,4.25
48,0,1,1,19.0,16.0,4.25
48,0,2,1,25.0,20.0,4.38
50,0,1,2,14.0,11.0,4.5
50,0,2,2,17.0,14.0,4.75
51,0,1,2,10.5,7.5,4.25
51,0,2,2,16.5,13.5,4.25
57,0,1,4,38.0,35.0,4.67
57,0,2,4,20.0,16.0,4.5
58,0,1,4,23.5,20.5,4.75
58,0,2,4,18.0,14.0,4.5
59,0,1,4,10.5,7.5,4.25
59,0,2,4,12.0,8.0,4.25
60,0,1,4,25.0,20.0,4.25
60,0,2,4,25.0,20.0,4.25
407,0,1,2,11.0,8.0,4.75
407,0,2,2,11.0,8.0,4.25
430,0,1,1,36.5,32.5,4.25
430,0,2,1,27.0,24.0,4.25
432,0,1,1,52.5,47.5,4.5
432,0,2,1,34.0,30.0,5.05
433,0,1,1,29.0,25.0,4.25
433,0,2,1,25.0,21.0,
434,0,1,1,45.0,40.0,4.25
434,0,2,1,37.5,33.5,4.25
435,0,1,1,22.75,19.75,4.25
435,0,2,1,21.0,16.0,4.25
438,0,1,2,7.5,4.5,4.25
438,0,2,2,9.5,6.5,4.25
440,0,1,4,15.5,12.5,4.25
440,0,2,4,18.0,15.0,
441,0,1,4,38.0,35.0,4.25
441,0,2,4,18.0,15.0,4.25
443,0,1,4,17.5,13.5,4.25
443,0,2,4,19.0,15.0,4.35
444,0,1,4,25.0,22.0,4.25
444,0,2,4,31.5,27.5,4.5
446,0,1,1,,,4.5
446,0,2,1,23.0,19.0,5.0
448,0,1,1,21.0,17.0,4.75
